timestamp,strike,type,open,high,low,close,volume,spot_ref,atm_distance,dte,session_block,body_pct,adx,rsi,ema9,ema21,ema_spread,ema9_gap,volume_ratio,ema9_high,ema9_low,fwd_3c,fwd_6c,fwd_9c,fwd_outcome
2026-04-27 15:27:00,24050,CE,135.25,136.6,134.45,135.3,1024205,24030.75,19.0,0,OPEN,2.3,17.6,52.8,134.47,133.27,1.19,0.83,0.92,137.19,131.11,,,,
2026-04-27 15:27:00,24050,PE,62.5,62.9,59.3,60.5,2368730,24030.75,19.0,0,OPEN,55.6,25.9,42.4,62.42,64.39,-1.97,1.92,1.16,64.8,60.09,,,,
2026-04-28 09:15:00,24050,CE,63.05,94,27.75,58,22509695,24061.9,12.0,0,OPEN,7.6,21.3,19.7,119.17,126.43,-7.26,61.17,22.16,128.55,110.43,,,,
2026-04-28 09:15:00,24050,PE,83.35,94.3,48.6,53.1,16746535,24061.9,12.0,0,OPEN,66.2,26.7,34.6,60.55,63.36,-2.81,7.45,8.26,70.7,57.79,,,,
2026-04-28 09:18:00,24100,CE,35.9,61.3,33.45,55.7,24784305,24082.0,18.0,0,OPEN,71.1,25.1,32.4,84.42,94.33,-9.91,28.72,3.39,91.43,74.71,,,,
2026-04-28 09:18:00,24100,PE,83,86.6,57.55,62.1,13824785,24082.0,18.0,0,OPEN,71.9,25.8,30.0,78.73,82.86,-4.13,16.63,2.8,92.95,74.84,,,,
2026-04-28 09:21:00,24100,CE,56.15,58.55,47.85,52.8,14804465,24080.55,19.0,0,OPEN,31.3,28.2,31.6,78.09,90.56,-12.46,25.29,1.26,84.85,69.34,,,,
2026-04-28 09:21:00,24100,PE,61,70.1,60.75,64.9,10475725,24080.55,19.0,0,OPEN,41.7,25.2,33.3,75.96,81.22,-5.26,11.06,1.5,88.38,72.02,,,,
2026-04-28 09:24:00,24100,CE,52.8,79.8,44.55,76.15,26154830,24119.35,19.0,0,OPEN,66.2,28.9,43.7,77.71,89.25,-11.54,1.56,1.84,83.84,64.38,,,,
2026-04-28 09:24:00,24100,PE,64.9,73.3,42.8,45.45,19104670,24119.35,19.0,0,OPEN,63.8,23.7,24.5,69.86,77.97,-8.11,24.41,2.23,85.36,66.18,,,,
2026-04-28 09:27:00,24100,CE,76.15,76.2,63.45,64.85,11168560,24112.45,12.0,0,OPEN,88.6,29.6,40.0,75.13,87.03,-11.89,10.28,0.59,82.31,64.19,,,,
2026-04-28 09:27:00,24100,PE,45.45,53,45.25,51.35,10612940,24112.45,12.0,0,OPEN,76.1,22.2,30.5,66.16,75.55,-9.39,14.81,0.9,78.89,61.99,,,,
2026-04-28 09:30:00,24100,CE,64.85,70.25,56.05,59.1,11994970,24107.0,7.0,0,OPEN,40.5,30.6,38.2,71.93,84.49,-12.56,12.83,0.58,79.9,62.57,,,,
2026-04-28 09:30:00,24100,PE,51.35,60.4,47.55,57.35,13865085,24107.0,7.0,0,OPEN,46.7,21.0,36.1,64.4,73.9,-9.5,7.05,1.04,75.19,59.1,,,,
2026-04-28 09:33:00,24100,CE,59.1,67.2,49.55,50.9,16614910,24098.0,2.0,0,OPEN,46.5,31.7,35.8,67.72,81.44,-13.71,16.82,0.93,77.36,59.96,,,,
